fdc_id,description,diet_guide_group
790508,"Butter, stick, salted",Diary
789828,"Butter, stick, unsalted",Diary
2259792,"Buttermilk, low fat",Diary
747429,"Cheese, American, restaurant",Diary
328637,"Cheese, cheddar",Diary
2647443,"Cheese, cotija, solid",Diary
328841,"Cheese, cottage, lowfat, 2% milkfat",Diary
329830,"Cheese, dry white, queso seco",Diary
746765,"Cheese, dry white, queso seco",Diary
2259796,"Cheese, feta, whole milk, crumbled",Diary
2647438,"Cheese, monterey jack, solid",Diary
329370,"Cheese, mozzarella, low moisture, part-skim",Diary
2647441,"Cheese, oaxaca, solid",Diary
325036,"Cheese, parmesan, grated",Diary
2259795,"Cheese, parmesan, grated, refrigerated",Diary
2647439,"Cheese, pasteurized process cheese food or product, American, singles",Diary
325198,"Cheese, pasteurized process, American, vitamin D fortified",Diary
2647440,"Cheese, provolone, sliced",Diary
2647442,"Cheese, queso fresco, solid",Diary
323444,"Cheese, ricotta, whole milk",Diary
746766,"Cheese, ricotta, whole milk",Diary
326135,"Cheese, swiss",Diary
746767,"Cheese, swiss",Diary
2346384,"Cottage cheese, full fat, large or small curd",Diary
2346385,"Cream cheese, full fat, block",Diary
2346386,"Cream, heavy",Diary
2346387,"Cream, sour, full fat",Diary
323793,"Egg, white, dried","Meats, Poultry, Eggs"
323697,"Egg, white, raw, frozen, pasteurized","Meats, Poultry, Eggs"
329490,"Egg, whole, dried","Meats, Poultry, Eggs"
323604,"Egg, whole, raw, frozen, pasteurized","Meats, Poultry, Eggs"
329716,"Egg, yolk, dried","Meats, Poultry, Eggs"
329596,"Egg, yolk, raw, frozen, pasteurized","Meats, Poultry, Eggs"
747997,"Eggs, Grade A, Large, egg white","Meats, Poultry, Eggs"
748967,"Eggs, Grade A, Large, egg whole","Meats, Poultry, Eggs"
748236,"Eggs, Grade A, Large, egg yolk","Meats, Poultry, Eggs"
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Diary
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Diary
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Diary
